r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
167,74,27,159,119,81.67,100,0.00212,0.475568,181.67
52,81,51,107,156,93.28,100,0.00213,0.327234,193.28
101,84,85,70,88,100,100,0.86232,0.133566,200
124,170,153,32,71,94.72,100,0.00188,0.300226,194.72
75,110,154,150,135,55.06,91.35,0.0017,0.0017,146.41
68,154,149,199,96,46.24,75.95,0.0017,0.0017,122.19
167,90,156,100,177,50.14,80.58,0.00157,0.00176,130.72
194,152,178,184,191,42.12,77.18,0.00165,0.00179,119.3
98,79,86,32,58,46.06,69.81,0.0016,0.00181,115.87
126,155,170,167,50,55.2,92.18,0.001,0.0016,147.38
93,102,171,150,152,51.58,81.04,0.00169,0.00187,132.62
80,168,148,89,90,55.3,75.2,0.00165,0.00169,130.5
157,123,127,102,73,46.2,74,0.00158,0.00173,120.2
142,184,131,89,104,61.5,93.05,0.00172,0.00161,154.55
196,38,57,172,145,48,80.02,0.00167,0.00179,128.02
187,64,76,168,181,48.57,76.45,0.0017,0.00186,125.02
51,166,37,200,124,68.03,100,0.00175,0.00103,168.03
130,168,35,180,200,37.08,53.06,0.00162,0.00168,90.14
76,176,106,181,166,38.75,63.03,0.0016,0.00173,101.78
109,87,193,66,36,42.42,65.56,0.00162,0.00181,107.98
29,30,87,133,67,60.99,92.45,0.0017,0.00172,153.44
70,35,96,80,119,42.71,73.55,0.00166,0.00184,116.26
85,134,26,188,162,44.24,71.44,0.00161,0.00179,115.68
34,158,170,78,141,42.88,69.85,0.00156,0.0018,112.73
128,167,38,96,140,64.61,93.62,0.00172,0.0017,158.23
149,156,170,145,49,67.66,92.25,0.00171,0.00151,159.91
175,100,194,148,36,50.6,86.2,0.00165,0.00188,136.8
70,187,200,85,45,52.28,74.02,0.0016,0.00173,126.3
78,86,101,109,116,51.39,86.4,0.00155,0.00183,137.79
134,116,192,68,52,62.7,88.35,0.0017,0.00179,151.05
111,127,50,131,76,53.3,75.23,0.00175,0.00175,128.53
167,71,46,91,128,43.53,80,0.00162,0.00176,123.53
150,69,68,98,184,46.98,69.28,0.00168,0.00181,116.26
186,74,136,195,66,45.13,76.65,0.00162,0.00172,121.78
139,91,146,136,26,46.23,71.11,0.00165,0.0018,117.34
149,74,48,62,120,47.72,81.63,0.00164,0.00174,129.35
158,155,162,41,178,44.66,73.37,0.00161,0.00169,118.03
185,200,27,120,114,47.08,75.12,0.00173,0.00186,122.2
53,179,195,36,185,44.93,79.6,0.00166,0.0018,124.53
160,53,49,55,52,65.34,89.47,0.00175,0.00168,154.81
89,60,33,161,87,44.85,75.23,0.0015,0.00181,120.08
49,131,121,96,101,48.38,81.44,0.00166,0.00175,129.82
