service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
1.034,1.587,2.14,0.011,0.047,0.093,0.002,0.009000000000000001,0.024,0.05639913232104121,0.9956616052060736,0.0043383947939262466,98,121,95,159,105,100,0.00218
1.641,2.694,3.406,0.011,0.076,0.199,0.003,0.021,0.096,0.03953871499176277,0.9901153212520593,0.01070840197693575,138,50,95,50,122,96,0.00218
1.823,2.964,3.559,0.016,0.086,0.202,0.003,0.018000000000000002,0.078,0.023890784982935155,1.0,0.0,188,40,95,100,97,103,0.00218
1.823,2.907,3.545,0.02,0.099,0.199,0.003,0.018000000000000002,0.075,0.021396001403016486,0.9975447211504735,0.001052262364082778,188,40,95,100,97,101,0.00218
1.823,2.907,3.545,0.02,0.099,0.199,0.003,0.018000000000000002,0.075,0.021396001403016486,0.9975447211504735,0.001052262364082778,51,180,95,137,144,98,0.00218
1.823,2.7880000000000003,3.468,0.016,0.086,0.198,0.003,0.018000000000000002,0.066,0.016894609814963796,0.998390989541432,0.0016090104585679804,176,145,95,121,127,103,0.00218
1.823,2.694,3.43,0.016,0.086,0.187,0.003,0.014,0.063,0.013692675505324927,0.99978265594436,0.00021734405564007825,95,169,95,49,148,98,0.00218
1.823,2.694,3.422,0.016,0.086,0.198,0.003,0.018000000000000002,0.061,0.013328396890040726,1.0,0.0,162,42,95,37,149,102,0.00218
1.823,2.694,3.406,0.02,0.094,0.202,0.003,0.015,0.063,0.011577424023154849,1.0,0.0,52,32,95,161,169,101,0.00218
1.823,2.694,3.406,0.02,0.094,0.202,0.003,0.015,0.063,0.011577424023154849,1.0,0.0,52,32,95,161,169,100,0.00218
1.823,2.694,3.422,0.02,0.086,0.198,0.003,0.018000000000000002,0.063,0.010273972602739724,1.0,0.0,188,64,95,73,82,97,0.00218
1.97,2.7880000000000003,3.422,0.02,0.086,0.198,0.003,0.018000000000000002,0.06,0.009281938893902282,1.0,0.0,137,112,95,126,50,102,0.00218
1.97,2.838,3.545,0.02,0.086,0.198,0.003,0.015,0.059,0.008365284071104914,0.9998838154990124,0.0,173,79,95,83,190,98,0.00218
1.823,2.7880000000000003,3.468,0.02,0.086,0.198,0.003,0.015,0.059,0.007612603087333474,0.9998942694015648,0.00010573059843518715,187,72,95,43,144,97,0.00218
1.823,2.7880000000000003,3.468,0.02,0.086,0.198,0.003,0.015,0.059,0.007612603087333474,1.0849016705434549,0.0002114611968703743,187,72,95,43,144,102,0.00218
1.823,2.7880000000000003,3.468,0.02,0.086,0.198,0.003,0.015,0.059,0.00701549254603917,0.9998051252070544,0.0001948747929455325,188,73,95,146,115,101,0.00218
1.823,2.7230000000000003,3.43,0.02,0.086,0.198,0.003,0.014,0.058,0.006460296096904442,0.9992821893225662,0.0007178106774338267,133,89,95,117,137,100,0.00218
1.823,2.694,3.43,0.02,0.086,0.187,0.003,0.014,0.053,0.00598056316969848,0.9997508098679292,0.00024919013207077,97,67,95,166,119,97,0.00218
1.641,2.694,3.406,0.02,0.086,0.187,0.003,0.013,0.053,0.005602676834487588,0.9995331102637928,0.000466889736207299,71,141,95,30,38,99,0.00218
1.823,2.694,3.406,0.02,0.086,0.198,0.003,0.014,0.059,0.005286731771789412,0.9991188780380352,0.0009545487921286438,105,177,95,71,55,102,0.00218
1.823,2.7230000000000003,3.468,0.02,0.086,0.198,0.003,0.014,0.059,0.004995836802664446,0.9996530668887038,0.00041631973355537054,105,177,95,71,55,104,0.00218
1.823,2.7230000000000003,3.468,0.02,0.086,0.198,0.003,0.014,0.059,0.004995836802664446,0.9996530668887038,0.00041631973355537054,100,60,95,35,41,98,0.00218
1.823,2.7230000000000003,3.468,0.02,0.086,0.198,0.003,0.013,0.058,0.004714818937856067,1.0,0.0,196,121,95,29,53,96,0.00218
