r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
190,43,136,88,72,99.73,100,0.00197,0.426983,199.73
31,40,133,140,112,100,100,0.00107,0.144918,200
110,184,55,162,135,100,100,0.00117,0.268147,200
167,71,96,48,104,100,100,0.00122,0.206026,200
193,30,98,192,185,100,100,0.771841,0.148287,200
189,168,172,104,143,100,100,0.975112,0.150183,200
107,30,67,75,133,100,100,0.898806,0.204593,200
48,166,73,94,96,100,100,0.934775,0.175194,200
189,125,85,37,118,100,100,0.956183,0.397228,200
79,31,198,115,185,79.14,100,0.00238,0.668594,179.14
197,93,122,31,162,81.37,100,0.00208,0.884855,181.37
82,149,146,143,167,84.33,100,0.00244,0.618332,184.33
195,152,111,47,193,68.54,100,0.00228,0.00166,168.54
158,134,197,185,83,66.81,100,0.0021,0.956455,166.81
87,122,185,157,77,90.82,100,0.00185,0.42667,190.82
174,113,122,118,51,86.05,100,0.00221,0.521853,186.05
200,178,163,102,141,99.26,100,0.00106,0.257671,199.26
101,91,190,149,198,90.16,100,0.00215,0.453663,190.16
195,130,30,25,167,89.71,100,0.0017,0.900829,189.71
141,187,105,82,164,97.76,100,0.00194,0.340043,197.76
186,50,169,71,189,100,100,0.871915,0.2766,200
108,72,111,147,111,93.91,100,0.00154,0.286565,193.91
105,144,125,129,113,81.33,100,0.00244,0.656518,181.33
81,165,162,30,190,100,100,0.425979,0.105991,200
162,150,87,151,31,88.23,100,0.00214,0.465923,188.23
33,79,75,38,197,84.98,100,0.0019,0.4054,184.98
135,179,114,103,196,76.85,100,0.00239,0.00106,176.85
60,35,150,131,187,87.1,100,0.00241,0.404607,187.1
107,45,103,108,50,86.38,100,0.00164,0.546388,186.38
168,28,26,25,177,93.9,100,0.0021,0.494219,193.9
81,43,143,76,46,100,100,0.00117,0.233279,200
90,48,112,74,163,78.24,100,0.00184,0.69955,178.24
131,109,27,146,67,56.3,100,0.00192,0.00124,156.3
166,124,155,41,83,93.12,100,0.00103,0.533038,193.12
124,131,95,150,167,93.81,100,0.00171,0.411756,193.81
47,95,103,126,156,100,100,0.00186,0.423186,200
184,86,28,54,73,80.27,100,0.00214,0.732847,180.27
167,159,30,122,86,72.63,100,0.00223,0.00121,172.63
185,66,123,105,178,82.56,100,0.0021,0.716926,182.56
191,178,160,66,79,94.63,100,0.00226,0.403754,194.63
80,165,136,146,175,92.8,100,0.00168,0.415156,192.8
179,115,191,191,36,83.14,100,0.00147,0.49835,183.14
147,47,34,46,189,79.05,100,0.0024,0.872247,179.05
172,61,200,99,45,99.26,100,0.00159,0.312633,199.26
73,114,150,182,64,100,100,0.00101,0.230934,200
29,146,129,180,117,100,100,0.0015,0.256599,200
58,102,89,158,79,100,100,0.686269,0.146518,200
171,111,71,185,147,100,100,0.00124,0.225755,200
185,65,139,39,49,100,98.51,0.0016,0.346477,198.51
147,169,185,181,108,88.97,100,0.0022,0.566825,188.97
75,105,40,32,35,98.23,100,0.00208,0.252527,198.23
30,114,198,69,161,100,100,0.00141,0.186282,200
65,95,145,147,168,78.35,98.13,0.00225,0.00115,176.48
53,111,118,61,105,72.63,100,0.0024,0.00104,172.63
49,83,54,86,147,78.22,100,0.00249,0.932352,178.22
70,160,149,135,28,82.09,100,0.0024,0.841521,182.09
95,170,149,122,157,81.6,100,0.00225,0.001,181.6
126,74,140,152,45,75.25,100,0.00231,0.001,175.25
124,121,47,40,185,75.5,100,0.00256,0.869969,175.5
113,153,128,189,94,67.79,100,0.0023,0.0011,167.79
136,42,156,172,173,90.85,100,0.00228,0.877323,190.85
135,73,71,125,109,79.49,100,0.00213,0.945106,179.49
150,129,88,151,33,70.8,100,0.00232,0.00142,170.8
160,126,111,161,99,76.97,100,0.0019,0.68837,176.97
174,108,65,166,135,57.06,98.1,0.00242,0.00233,155.16
125,41,59,141,155,65.48,100,0.00221,0.757824,165.48
181,194,114,28,54,100,100,0.002,0.284155,200
150,141,88,54,110,70.13,100,0.0022,0.00106,170.13
131,70,38,190,29,64.02,100,0.00232,0.00171,164.02
145,138,32,129,189,69.42,97.47,0.00243,0.00185,166.89
142,172,142,25,88,100,100,0.0012,0.227696,200
111,168,111,86,40,88.76,100,0.00211,0.497367,188.76
107,26,54,181,129,82.99,100,0.00249,0.777072,182.99
82,110,97,165,142,83.04,100,0.00229,0.858136,183.04
125,153,120,119,119,74.26,100,0.00217,0.746939,174.26
168,134,187,158,46,84.05,100,0.00231,0.475663,184.05
49,67,168,111,189,68.45,100,0.00223,0.98191,168.45
97,182,53,93,133,72.81,100,0.00136,0.592667,172.81
102,188,31,102,110,66.42,100,0.00229,0.00138,166.42
184,151,173,77,107,69.01,100,0.00253,0.00121,169.01
106,26,39,160,169,58.43,100,0.00216,0.00155,158.43
117,104,41,27,189,89.56,100,0.00231,0.869639,189.56
83,139,82,158,140,66.32,100,0.0024,0.00186,166.32
188,91,29,81,61,64.05,98.63,0.00215,0.00226,162.68
193,29,130,60,44,92.35,100,0.00186,0.519033,192.35
86,145,163,104,128,62.61,100,0.00231,0.00187,162.61
77,139,157,149,148,61.89,89.87,0.00208,0.00151,151.76
148,85,168,42,123,51.27,99.07,0.00209,0.00247,150.34
193,52,93,122,131,69.04,99.11,0.00251,0.00174,168.15
75,94,111,190,180,53.94,87.5,0.00232,0.0027,141.44
69,142,116,118,122,83.53,99.6,0.00161,0.466025,183.13
126,146,83,88,179,80.38,100,0.00197,0.54518,180.38
169,118,200,181,126,77.7,99.68,0.00188,0.984223,177.38
184,179,32,122,153,53.09,92.45,0.00227,0.00264,145.54
56,113,194,106,155,63.7,100,0.00242,0.00146,163.7
40,99,160,129,197,79.28,100,0.00218,0.574057,179.28
149,65,150,97,131,62.68,100,0.00218,0.0017,162.68
83,66,62,107,186,62.35,100,0.00233,0.00181,162.35
168,191,142,103,101,52.66,100,0.00193,0.00187,152.66
168,85,47,59,156,64.84,100,0.00227,0.00183,164.84
165,164,51,152,81,63.99,100,0.00218,0.00148,163.99
86,134,96,139,193,75.93,100,0.00254,0.00138,175.93
86,114,119,39,122,66.32,100,0.0021,0.0023,166.32
190,43,52,174,146,57.31,100,0.0022,0.00169,157.31
64,106,143,83,84,64.84,100,0.00239,0.00146,164.84
111,110,157,71,139,63.15,97.79,0.00224,0.00187,160.94
172,57,94,45,87,59.58,100,0.00242,0.00125,159.58
85,36,141,61,192,60.18,100,0.00233,0.00148,160.18
28,55,132,32,96,65.52,97.59,0.0023,0.0025,163.11
63,90,119,187,27,77.41,100,0.00153,0.710041,177.41
92,148,29,94,90,74.85,100,0.002,0.001,174.85
166,178,112,174,181,86.32,100,0.00215,0.602985,186.32
47,192,65,90,26,86.69,100,0.00242,0.621153,186.69
100,39,95,178,119,65.08,100,0.0022,0.00141,165.08
32,46,154,109,30,73.71,100,0.00215,0.001,173.71
82,160,34,110,157,84.52,100,0.0013,0.548603,184.52
194,64,78,85,35,75.24,97.84,0.00246,0.00223,173.08
196,108,160,121,119,74.81,100,0.00241,0.00155,174.81
122,124,143,110,25,71.05,98.41,0.00255,0.00241,169.46
69,75,96,93,186,70.39,100,0.00216,0.001,170.39
81,156,110,107,168,88.36,100,0.00219,0.559021,188.36
99,159,194,144,115,90.25,100,0.00223,0.514374,190.25
130,60,112,45,183,93.48,100,0.00222,0.645732,193.48
128,72,122,68,67,94.63,100,0.589714,0.227958,194.63
179,189,53,105,137,76.39,100,0.00232,0.655048,176.39
71,39,58,28,155,81.7,100,0.0024,0.00122,181.7
119,110,159,105,66,97.68,100,0.00205,0.315319,197.68
80,196,74,126,85,78.93,100,0.00218,0.963608,178.93
76,104,86,197,106,72.32,100,0.0023,0.00187,172.32
90,63,156,146,85,75.74,100,0.00233,0.822549,175.74
108,185,42,116,160,92.24,100,0.002,0.408073,192.24
52,197,113,179,96,84.08,100,0.00228,0.69844,184.08
196,61,100,81,83,75.04,100,0.00236,0.789866,175.04
56,120,86,65,74,70.41,100,0.00206,0.799726,170.41
137,81,141,74,184,83.73,100,0.00192,0.65275,183.73
169,139,198,185,76,85.08,100,0.00135,0.539526,185.08
141,165,45,179,165,70.54,100,0.00225,0.893926,170.54
74,65,119,129,179,76.57,100,0.00216,0.790972,176.57
184,89,152,77,156,79.86,100,0.00236,0.896633,179.86
54,170,91,90,101,68.24,100,0.0022,0.904689,168.24
111,173,156,110,80,71.95,100,0.00246,0.00105,171.95
70,134,184,27,147,62.44,100,0.00222,0.0014,162.44
108,84,86,90,197,67.56,100,0.00207,0.00173,167.56
55,188,69,50,192,87.12,100,0.00218,0.916596,187.12
110,47,125,131,171,70.65,100,0.00226,0.839131,170.65
135,42,126,168,93,64.89,100,0.00238,0.00147,164.89
116,134,62,145,85,71.73,100,0.00241,0.00122,171.73
177,91,143,156,103,63.84,100,0.00209,0.00132,163.84
36,66,178,140,80,60.65,100,0.00222,0.00213,160.65
39,37,115,34,133,66.57,100,0.0023,0.00171,166.57
52,60,170,148,27,100,100,0.00123,0.246154,200
64,42,31,113,191,95.66,100,0.00211,0.238443,195.66
109,161,82,113,89,100,100,0.522737,0.145572,200
119,27,73,94,139,100,100,0.001,0.151804,200
199,38,57,183,97,100,100,0.537924,0.1251,200
168,144,200,169,168,100,100,0.0015,0.211178,200
163,76,76,62,125,100,100,0.0013,0.192771,200
61,133,79,33,164,100,100,0.830489,0.202749,200
110,148,161,72,159,98.18,100,0.00208,0.413047,198.18
87,119,85,198,184,100,100,0.00169,0.222364,200
127,61,63,167,152,71.56,99.72,0.0024,0.0013,171.28
112,99,152,37,151,83.6,100,0.00175,0.720995,183.6
92,194,48,180,88,89.61,100,0.00214,0.562941,189.61
61,175,105,192,83,66.67,100,0.00209,0.933628,166.67
79,127,33,35,74,55.87,77.66,0.00229,0.00245,133.53
125,97,191,138,31,73.35,100,0.00243,0.00139,173.35
179,159,47,171,83,0,0,0.230377,0.20735,0
97,150,190,133,60,0,0,0.222526,0.232025,0
169,140,75,29,114,0,0,0.186723,0.202811,0
135,146,125,132,39,100,100,0.318827,0.092422,200
63,98,107,175,171,100,100,0.00167,0.181424,200
131,43,57,33,51,100,100,0.0017,0.369923,200
154,112,142,105,117,100,100,0.00171,0.178401,200
131,105,95,185,81,94.25,100,0.002,0.492271,194.25
109,74,60,106,38,100,100,0.00166,0.214174,200
168,168,57,199,72,100,100,0.00114,0.175168,200
81,36,172,197,78,96.38,100,0.00214,0.235832,196.38
180,36,128,111,170,100,100,0.00173,0.411977,200
186,74,152,157,120,100,100,0.870776,0.180212,200
151,70,145,180,115,100,100,0.0017,0.337075,200
126,92,122,33,134,76.65,100,0.00184,0.797561,176.65
184,171,142,97,104,92.64,100,0.00218,0.469432,192.64
149,124,195,171,68,80.71,100,0.00215,0.49531,180.71
87,89,55,82,154,100,100,0.00115,0.194982,200
196,171,167,153,157,100,100,0.759073,0.185161,200
199,62,159,66,117,92.26,100,0.00215,0.299688,192.26
112,118,52,114,171,100,100,0.993896,0.220429,200
56,93,139,175,165,100,100,0.00176,0.228229,200
185,68,118,115,190,100,100,0.00146,0.301097,200
191,118,71,73,153,100,100,0.00207,0.308116,200
198,145,127,154,26,100,100,0.683419,0.125284,200
115,44,139,157,59,100,100,0.00122,0.194523,200
103,195,165,176,68,100,100,0.756972,0.244518,200
145,58,149,35,33,95.98,100,0.00186,0.299842,195.98
97,197,99,65,78,100,100,0.00137,0.239287,200
40,35,107,101,131,89.04,100,0.002,0.536315,189.04
111,99,84,115,63,99.04,100,0.00139,0.221243,199.04
190,181,47,152,175,91.18,100,0.00223,0.562668,191.18
165,143,72,139,61,92.34,100,0.001,0.333996,192.34
