r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
182,116,94,36,193,54.13,87.39,0.0017800000000000001,0.0018,141.52
156,123,110,88,103,58.9,82.25,0.0018,0.00184,141.15
156,155,148,191,131,67.78,92.57,0.0018,0.0015400000000000001,160.35
41,53,129,28,135,57.27,88.23,0.00175,0.00184,145.5
157,159,89,71,160,60.55,89.49,0.0017900000000000001,0.00177,150.04
92,140,110,33,83,69.02,98.73,0.00181,0.00152,167.75
110,101,91,141,49,66.86,96.01,0.0018,0.00147,162.87
136,45,56,58,200,67.75,98.83,0.00182,0.00127,166.57999999999998
97,108,84,121,111,65.08,86.27,0.00176,0.00136,151.35
35,46,90,163,79,53.89,86.46,0.00177,0.00175,140.35
41,43,172,108,92,50.5,78.94,0.00175,0.00189,129.44
169,152,157,179,135,56.61,86.16,0.0018,0.00188,142.76999999999998
144,188,112,200,151,48.89,79.54,0.00177,0.0019,128.43
72,99,36,110,50,52.39,82.2,0.00175,0.00188,134.59
32,87,93,159,170,64.08,97.94,0.001,0.00141,162.01999999999998
177,173,118,161,59,48.82,78.55,0.0017,0.0019299999999999999,127.37
33,186,152,83,101,50.69,85.59,0.0018,0.0019,136.28
129,45,166,186,66,82.82,100.0,0.00177,0.532181,182.82
125,184,61,194,36,58.73,90.86,0.0017800000000000001,0.00173,149.59
195,41,191,94,162,60.54,95.18,0.00176,0.00182,155.72
170,48,140,88,81,53.18,82.56,0.0018,0.0019399999999999999,135.74
181,96,80,185,197,71.55,100.0,0.0017,0.0013,171.55
124,72,104,65,71,57.25,80.63,0.0017900000000000001,0.001,137.88
137,39,153,148,78,50.5,87.09,0.00177,0.00183,137.59
166,32,151,175,49,54.94,75.65,0.00177,0.0019299999999999999,130.59
36,76,172,174,45,52.93,81.21,0.00175,0.00186,134.14
58,160,81,70,74,60.96,90.42,0.0018,0.00177,151.38
96,27,41,68,187,62.84,94.27,0.00177,0.00152,157.11
35,58,83,151,173,52.0,80.27,0.00177,0.00189,132.26999999999998
122,44,105,179,169,50.84,79.02,0.00174,0.0019,129.86
97,156,132,194,188,53.24,79.01,0.0018,0.0019,132.25
137,77,117,140,36,47.75,75.99,0.0017800000000000001,0.00196,123.74
132,162,62,75,187,51.16,78.88,0.00177,0.00188,130.04
100,196,68,99,38,69.5,100.0,0.0017900000000000001,0.0013,169.5
56,85,63,97,130,68.79,98.44,0.0018,0.0011200000000000001,167.23000000000002
89,120,169,55,152,56.09,85.78,0.0017800000000000001,0.00183,141.87
81,167,141,128,122,52.95,80.21,0.00182,0.0019199999999999998,133.16
97,49,101,48,32,62.79,99.27,0.00182,0.00101,162.06
63,32,56,109,52,61.9,95.91,0.0017900000000000001,0.00163,157.81
185,189,148,57,114,58.75,95.03,0.0017800000000000001,0.0017,153.78
87,152,75,168,132,68.93,96.22,0.0018,0.0013,165.15
103,144,123,72,95,69.93,97.69,0.00174,0.0014,167.62
175,69,183,48,44,62.89,88.78,0.0018,0.00183,151.67000000000002
78,112,187,155,79,58.62,92.97,0.0017900000000000001,0.00181,151.59
126,190,157,156,45,62.7,92.5,0.00182,0.00165,155.2
154,84,180,57,179,49.29,78.53,0.00174,0.00186,127.82
171,200,81,159,90,47.89,74.89,0.0018,0.0019199999999999998,122.78
94,108,199,88,36,54.23,80.28,0.0018,0.0019199999999999998,134.51
38,86,70,134,34,49.89,82.76,0.00174,0.0017900000000000001,132.65
156,37,82,160,92,44.38,74.56,0.00174,0.00189,118.94
33,91,196,65,200,51.09,76.33,0.0017800000000000001,0.00189,127.42
43,38,136,57,115,47.84,78.81,0.00174,0.0019299999999999999,126.65
27,94,35,189,60,54.73,83.86,0.00175,0.0018,138.59
159,46,166,114,40,50.48,72.11,0.00177,0.00189,122.59
29,162,32,100,171,50.4,77.78,0.0018,0.0019299999999999999,128.18
109,183,184,145,139,51.7,73.41,0.00175,0.0019199999999999998,125.11
175,36,29,86,144,48.44,78.98,0.0017900000000000001,0.00191,127.42
149,126,159,121,169,61.28,89.12,0.0017900000000000001,0.00184,150.4
67,99,66,188,84,57.21,87.55,0.00177,0.00151,144.76
171,102,69,75,129,54.19,80.7,0.00181,0.0019299999999999999,134.89
177,183,142,188,191,49.62,78.1,0.00177,0.0019199999999999998,127.72
109,72,138,57,89,56.6,80.69,0.00177,0.00191,137.29
102,169,184,178,193,52.57,80.61,0.0017800000000000001,0.00195,133.18
124,125,186,48,108,54.38,83.49,0.00182,0.00182,137.87
86,42,105,37,148,69.1,99.31,0.0017900000000000001,0.0013,168.41
192,61,188,165,131,49.87,71.51,0.00176,0.00189,121.38
116,51,175,187,115,56.79,83.39,0.0018,0.00191,140.18
155,120,92,111,55,63.85,95.64,0.0017900000000000001,0.00161,159.49
55,192,194,179,126,58.04,88.4,0.0017800000000000001,0.0016799999999999999,146.44
183,156,59,120,184,57.67,90.09,0.00182,0.0017900000000000001,147.76
128,153,144,105,88,55.49,76.94,0.00183,0.0018700000000000001,132.43
193,54,35,177,62,47.14,74.62,0.00173,0.0019299999999999999,121.76
190,67,35,78,96,61.44,88.23,0.0017,0.0016799999999999999,149.67000000000002
26,75,76,128,158,49.05,78.74,0.00176,0.00189,127.78999999999999
60,93,128,31,96,58.65,90.8,0.00175,0.00176,149.45
147,78,194,41,179,49.43,80.45,0.00175,0.0019199999999999998,129.88
61,175,101,102,132,44.37,75.63,0.0017,0.0019199999999999998,120.0
130,137,46,36,65,44.64,67.93,0.0017800000000000001,0.00196,112.57000000000001
101,56,70,120,199,45.98,74.9,0.00176,0.00189,120.88
60,53,62,145,197,52.1,82.99,0.00182,0.0019299999999999999,135.09
53,127,41,171,129,54.31,88.95,0.00177,0.00185,143.26
195,188,196,75,107,49.94,74.23,0.00175,0.0019,124.17
82,148,147,50,40,49.27,76.47,0.00177,0.0019399999999999999,125.74000000000001
185,167,128,103,29,51.81,81.71,0.0018,0.001,133.51999999999998
147,148,72,131,34,69.18,95.91,0.00175,0.00165,165.09
103,42,54,66,85,46.89,75.02,0.00173,0.0019,121.91
153,76,86,27,31,48.74,76.69,0.0018,0.0019,125.43
121,146,138,37,85,50.67,84.5,0.00182,0.0019,135.17000000000002
79,138,183,117,178,50.48,78.54,0.0017,0.0019199999999999998,129.02
146,89,91,183,45,61.12,85.95,0.00184,0.00166,147.07
155,181,130,174,117,64.99,97.64,0.0016799999999999999,0.00132,162.63
61,44,164,145,79,51.39,75.22,0.0017800000000000001,0.0019399999999999999,126.61
64,97,160,131,98,50.52,81.17,0.00173,0.0019299999999999999,131.69
93,198,199,42,125,50.25,75.93,0.00177,0.00188,126.18
103,194,51,138,152,54.66,79.37,0.0017900000000000001,0.00182,134.03
