service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.494,3.193,3.823,0.059000000000000004,0.304,0.5660000000000001,0.002,0.01,0.026000000000000002,0.927536231884058,0.3188405797101449,0.7294685990338164,100,147,87,101,125,119,0.00219
2.519,3.6510000000000002,4.471,0.042,0.251,0.56,0.002,0.01,0.052000000000000005,0.4656771799628943,0.7161410018552876,0.3042671614100185,100,147,87,101,125,102,0.00219
2.655,3.596,4.454,0.08199999999999999,0.382,0.628,0.002,0.01,0.04,0.2754098360655738,0.8240437158469945,0.18688524590163932,100,196,97,162,80,109,0.00219
2.655,3.596,4.434,0.114,0.382,0.624,0.002,0.01,0.037000000000000005,0.19890368050117466,0.8449490994518403,0.16288175411119812,100,196,97,162,80,118,0.00219
2.655,3.596,4.456,0.08199999999999999,0.34,0.603,0.002,0.009000000000000001,0.033,0.15101070154577886,0.8900118906064209,0.1159334126040428,100,196,97,162,80,108,0.00219
2.655,3.6510000000000002,4.456,0.114,0.34,0.585,0.002,0.01,0.037000000000000005,0.12360097323600973,0.9070559610705596,0.0978102189781022,100,108,141,127,113,101,0.00219
2.655,3.748,4.703,0.114,0.34,0.585,0.003,0.01,0.037000000000000005,0.10654362416107382,0.9194630872483222,0.08515100671140939,100,108,141,127,113,117,0.00219
2.655,3.748,4.703,0.114,0.34,0.585,0.003,0.01,0.037000000000000005,0.10654362416107382,0.9194630872483222,0.08515100671140939,100,71,81,160,175,114,0.00219
2.655,3.6510000000000002,4.703,0.114,0.34,0.585,0.003,0.01,0.033,0.09153153153153153,0.9358558558558558,0.06774774774774775,100,71,81,160,175,112,0.00219
2.655,3.7969999999999997,4.745,0.114,0.36200000000000004,0.628,0.003,0.01,0.037000000000000005,0.08217405370430282,0.9407958589453252,0.06243934001941119,100,84,143,94,95,107,0.00219
2.655,3.8710000000000004,4.8580000000000005,0.147,0.446,1.002,0.003,0.012,0.045,0.07388016288539849,0.9377545084351367,0.0651541593949971,100,84,143,94,95,101,0.00219
2.655,3.8710000000000004,4.9430000000000005,0.147,0.446,0.981,0.003,0.012,0.048,0.06661421452924207,0.954891161814844,0.04773144505638605,100,84,143,94,95,119,0.00219
2.655,3.8710000000000004,4.9430000000000005,0.147,0.446,0.981,0.003,0.012,0.048,0.06661421452924207,0.954891161814844,0.04773144505638605,100,48,129,131,93,115,0.00219
2.655,3.8710000000000004,4.9430000000000005,0.147,0.446,0.953,0.003,0.015,0.053,0.06050500238208671,0.9575988565983802,0.04478323010957599,100,48,129,131,93,111,0.00219
2.655,3.8710000000000004,4.904,0.147,0.446,0.937,0.003,0.013999999999999999,0.053,0.0564193691692581,0.9586850288760552,0.04353620613060862,100,177,165,143,102,103,0.00219
2.655,3.8710000000000004,4.904,0.114,0.42,0.937,0.003,0.013999999999999999,0.053,0.05242518059855522,0.9659442724458204,0.03611971104231166,100,177,165,143,102,112,0.00219
2.655,3.8710000000000004,4.904,0.114,0.42,0.937,0.003,0.013999999999999999,0.053,0.05242518059855522,0.9659442724458204,0.03611971104231166,100,177,165,143,102,101,0.00219
2.655,3.8710000000000004,4.904,0.114,0.42,0.885,0.003,0.013999999999999999,0.053,0.04851957975167144,0.9690544412607449,0.03342884431709646,100,123,128,80,92,118,0.00219
2.655,3.8710000000000004,4.904,0.114,0.42,0.885,0.003,0.013999999999999999,0.053,0.04851957975167144,0.9690544412607449,0.03342884431709646,100,123,128,80,92,104,0.00219
2.655,3.928,4.904,0.114,0.382,0.885,0.003,0.017,0.08900000000000001,0.045260156806842484,0.9620456165359944,0.03973627940128297,100,154,64,105,116,113,0.00219
2.655,3.928,4.904,0.114,0.42,0.885,0.003,0.017,0.087,0.042898159094747514,0.9738219895287958,0.0278669143725722,100,154,64,105,116,111,0.00219
2.655,3.928,4.904,0.114,0.42,0.872,0.003,0.017,0.087,0.040653008962868116,0.9761523687580026,0.025608194622279132,100,154,64,105,116,111,0.00219
2.655,3.928,4.904,0.114,0.382,0.872,0.003,0.017,0.087,0.03773584905660377,0.9783093151091964,0.02317634823948893,100,155,43,93,113,107,0.00219
2.655,3.928,4.904,0.114,0.382,0.872,0.003,0.017,0.087,0.03773584905660377,0.9783093151091964,0.02317634823948893,100,155,43,93,113,115,0.00219
2.655,3.8710000000000004,4.904,0.114,0.42,0.872,0.003,0.017,0.087,0.03563911884383331,0.9765679809176372,0.024835133997474397,100,65,103,186,113,104,0.00219
2.655,3.928,4.904,0.114,0.42,0.872,0.003,0.017,0.087,0.03401178361006963,0.9776379217996788,0.02370112479914301,100,65,103,186,113,110,0.00219
2.655,3.928,4.904,0.114,0.42,0.872,0.003,0.017,0.087,0.03252657190421309,0.9755410423869894,0.02573953131002689,100,171,180,128,68,117,0.00219
2.655,3.928,4.954,0.114,0.42,0.872,0.003,0.017,0.087,0.031234628627643875,0.9773733398917857,0.02324151500245942,100,171,180,128,68,120,0.00219
2.655,3.928,4.954,0.114,0.42,0.872,0.003,0.019,0.087,0.030080530554239693,0.9786830885836096,0.022501184272856467,100,171,180,128,68,117,0.00219
2.655,3.928,4.954,0.114,0.42,0.872,0.003,0.019,0.087,0.030080530554239693,0.9786830885836096,0.022501184272856467,100,41,112,161,124,108,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.865,0.003,0.017,0.087,0.028814520703346568,0.9784458309699376,0.022688598979013045,100,41,112,161,124,117,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.858,0.003,0.017,0.087,0.027510018412217046,0.9826708545434854,0.018412217047546843,100,138,173,168,178,103,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.8420000000000001,0.003,0.019,0.087,0.026541274817136886,0.9820271682340648,0.019017763845350054,100,138,173,168,178,116,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.8420000000000001,0.003,0.019,0.087,0.02566693613581245,0.9842360549717056,0.01677445432497979,100,138,173,168,178,114,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.8420000000000001,0.003,0.019,0.087,0.024761162019886918,0.9832325989471632,0.017742249951257553,100,76,96,127,44,109,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.8420000000000001,0.003,0.019,0.087,0.02387218045112782,0.9821428571428572,0.01879699248120301,100,76,96,127,44,104,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.8420000000000001,0.003,0.019,0.087,0.02387218045112782,0.9821428571428572,0.01879699248120301,100,142,180,141,160,113,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.8420000000000001,0.003,0.019,0.087,0.023232415622427508,0.9840848806366048,0.016829781395774263,100,142,180,141,160,107,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.816,0.003,0.019,0.087,0.02250575934786461,0.9844054580896686,0.01648059542796385,100,86,114,109,164,117,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.816,0.003,0.021,0.091,0.02178948271424895,0.9836149952818051,0.017242858368362358,100,86,114,109,164,120,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.816,0.003,0.021,0.091,0.02178948271424895,0.9836149952818051,0.017242858368362358,100,86,114,109,164,109,0.00219
2.655,3.928,4.9030000000000005,0.114,0.382,0.816,0.003,0.021,0.091,0.02178948271424895,0.9836149952818051,0.017242858368362358,100,110,85,97,127,103,0.00219
2.655,3.8710000000000004,4.878,0.114,0.382,0.816,0.003,0.021,0.091,0.021017790649565576,0.9859329747621016,0.014894497310715762,100,110,85,97,127,108,0.00219
2.655,3.8710000000000004,4.878,0.08199999999999999,0.382,0.7929999999999999,0.004,0.021,0.091,0.020240656626025973,0.9898796716869871,0.010917204558132122,100,95,87,165,165,112,0.00219
2.655,3.8710000000000004,4.878,0.08199999999999999,0.382,0.7929999999999999,0.004,0.021,0.091,0.019629057187016997,0.9857805255023184,0.014992272024729518,100,95,87,165,165,119,0.00219
2.655,3.8710000000000004,4.878,0.08199999999999999,0.382,0.7929999999999999,0.004,0.021,0.091,0.01917560018118677,0.9859580250641704,0.014796919824852784,100,95,87,165,165,110,0.00219
2.655,3.8710000000000004,4.878,0.08199999999999999,0.382,0.7929999999999999,0.004,0.021,0.091,0.01917560018118677,0.9859580250641704,0.014796919824852784,100,171,93,80,84,114,0.00219
2.655,3.8710000000000004,4.878,0.114,0.382,0.7929999999999999,0.004,0.021,0.091,0.018717759764185705,0.9859985261606484,0.014738393515106854,100,171,93,80,84,118,0.00219
2.655,3.8710000000000004,4.878,0.114,0.382,0.747,0.004,0.021,0.091,0.0182983934875009,0.9882573301635328,0.01246307902888841,100,185,195,82,76,103,0.00219
2.655,3.928,4.878,0.114,0.382,0.747,0.004,0.021,0.091,0.017852122575203824,0.9866460500421704,0.014056789429294348,100,185,195,82,76,101,0.00219
