service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
1.991,2.798,3.327,0.084,0.268,0.569,0.003,0.017,0.073,0.3863247863247864,0.6957264957264957,0.30427350427350425,250,190,124,49,50,222,0.00218
2.384,3.922,5.058,0.084,0.268,0.524,0.003,0.025,0.073,0.2776442307692308,0.8185096153846154,0.1838942307692308,250,190,124,49,50,222,0.00218
2.612,4.206,5.619,0.084,0.295,0.524,0.003,0.019,0.063,0.1998320738874895,0.834592779177162,0.16540722082283796,250,121,163,148,50,203,0.00218
2.612,4.04,5.582000000000002,0.084,0.268,0.485,0.003,0.026,0.129,0.15727391874180865,0.8958060288335518,0.10550458715596332,250,121,163,148,50,200,0.00218
2.612,4.04,5.345,0.084,0.295,0.485,0.003,0.026,0.122,0.15727391874180865,0.8958060288335518,0.10550458715596332,250,42,148,130,173,219,0.00218
2.612,3.922,5.226,0.084,0.295,0.467,0.003,0.019,0.119,0.12896405919661733,0.8911205073995772,0.10887949260042283,250,42,148,130,173,205,0.00218
2.612,3.922,5.226,0.084,0.295,0.467,0.003,0.019,0.119,0.12896405919661733,0.8911205073995772,0.10887949260042283,250,42,148,130,173,207,0.00218
2.612,3.922,5.226,0.084,0.276,0.485,0.003,0.019,0.104,0.10797708241516088,0.9136183340678712,0.08638166593212869,250,120,160,162,102,225,0.00218
2.612,3.922,5.134,0.118,0.42,1.029,0.003,0.019,0.098,0.09312048650703154,0.9156214367160777,0.08437856328392246,250,120,160,162,102,212,0.00218
2.612,4.04,5.442,0.118,0.391,1.023,0.003,0.019,0.098,0.08308004052684904,0.9327929753461668,0.06720702465383316,250,58,148,43,65,222,0.00218
2.612,4.04,5.442,0.118,0.391,1.023,0.003,0.019,0.097,0.07555282555282555,0.9480958230958232,0.05221130221130221,250,58,148,43,65,206,0.00218
2.612,4.04,5.3210000000000015,0.118,0.42,1.009,0.003,0.019,0.085,0.06741573033707865,0.9405316525075365,0.059468347492463686,250,58,148,43,65,204,0.00218
2.612,4.04,5.3210000000000015,0.118,0.42,1.009,0.003,0.019,0.085,0.06741573033707865,0.9405316525075365,0.059468347492463686,250,166,68,158,160,211,0.00218
2.612,4.04,5.3210000000000015,0.105,0.391,1.009,0.003,0.022,0.098,0.06101190476190476,0.9543650793650794,0.04563492063492063,250,166,68,158,160,218,0.00218
2.612,3.922,5.145,0.105,0.391,0.974,0.004,0.022,0.098,0.05576966674223532,0.9589662208116072,0.041033779188392655,250,102,74,133,73,223,0.00218
2.806,4.04,5.145,0.105,0.42,0.974,0.004,0.026,0.098,0.05209656925031767,0.9587039390088944,0.041296060991105464,250,102,74,133,73,224,0.00218
2.612,4.04,5.3210000000000015,0.105,0.391,0.964,0.004,0.026,0.098,0.04838709677419355,0.9624311565696302,0.03756884343036978,250,141,79,182,139,210,0.00218
2.612,4.04,5.3210000000000015,0.105,0.391,0.964,0.004,0.026,0.08900000000000001,0.044989027066569126,0.9668983174835406,0.0331016825164594,250,141,79,182,139,206,0.00218
2.612,4.04,5.3210000000000015,0.105,0.391,0.964,0.004,0.026,0.08900000000000001,0.044989027066569126,0.9668983174835406,0.0331016825164594,250,141,79,182,139,201,0.00218
2.612,4.04,5.3210000000000015,0.105,0.391,0.944,0.004,0.022,0.08900000000000001,0.04246504401864319,0.9687553944415674,0.031244605558432587,250,78,164,151,194,219,0.00218
2.806,4.04,5.3210000000000015,0.105,0.391,0.944,0.004,0.026,0.08900000000000001,0.040308045223660494,0.9741110929051288,0.02588890709487137,250,78,164,151,194,204,0.00218
2.806,4.04,5.2010000000000005,0.105,0.391,0.944,0.004,0.026,0.08900000000000001,0.038056930693069306,0.9758663366336634,0.02413366336633664,250,103,140,187,65,218,0.00218
2.612,4.04,5.166,0.105,0.391,0.918,0.004,0.026,0.085,0.03581307322754404,0.9716115882952396,0.028970738098704325,250,103,140,187,65,209,0.00218
2.612,3.922,5.134,0.105,0.368,0.918,0.004,0.022,0.085,0.033754116355653126,0.9728320526893524,0.02716794731064764,250,103,140,187,65,219,0.00218
2.612,3.922,5.134,0.105,0.368,0.918,0.004,0.022,0.085,0.033754116355653126,0.9728320526893524,0.02716794731064764,250,50,83,113,196,204,0.00218
2.612,3.922,5.134,0.084,0.368,0.918,0.004,0.022,0.08199999999999999,0.032296179598267034,0.9734803728502036,0.026650912432716292,250,50,83,113,196,200,0.00218
2.612,3.922,5.134,0.105,0.391,0.918,0.004,0.026,0.08900000000000001,0.03104884513441878,0.9761453994698978,0.023728385712482647,250,162,47,180,71,223,0.00218
2.806,3.961,5.306,0.105,0.379,0.877,0.004,0.025,0.092,0.03104884513441878,0.9761453994698978,0.023728385712482647,250,162,47,180,71,213,0.00218
2.806,3.961,5.193,0.105,0.379,0.877,0.004,0.025,0.092,0.02986886838271005,0.9815444390480816,0.018455560951918408,250,162,47,180,71,216,0.00218
2.806,3.961,5.306,0.105,0.379,0.877,0.004,0.025,0.084,0.02859135285913528,0.9753602975360296,0.024639702463970247,250,62,101,66,50,211,0.00218
2.806,3.961,5.306,0.105,0.379,0.877,0.004,0.025,0.084,0.02859135285913528,0.9753602975360296,0.024639702463970247,250,62,101,66,50,205,0.00218
2.806,3.961,5.306,0.105,0.379,0.858,0.004,0.025,0.084,0.02761252665843529,0.9779997755079134,0.02200022449208665,250,99,198,49,185,224,0.00218
2.806,3.961,5.193,0.105,0.35700000000000004,0.852,0.004,0.025,0.084,0.026591719814074155,0.9796778726624148,0.020322127337585125,250,99,198,49,185,212,0.00218
2.612,3.961,5.134,0.105,0.345,0.823,0.004,0.025,0.084,0.025421101581068514,0.9833626123798698,0.016327374186214737,250,58,84,160,189,218,0.00218
2.612,3.961,5.134,0.084,0.331,0.823,0.004,0.025,0.083,0.02423167848699764,0.9846335697399528,0.015267927501970056,250,58,84,160,189,225,0.00218
2.612,3.961,5.134,0.084,0.331,0.813,0.004,0.025,0.083,0.02343303486378357,0.9832349018860737,0.016765098113926458,250,58,84,160,189,221,0.00218
2.612,3.961,5.134,0.084,0.331,0.813,0.004,0.025,0.083,0.02343303486378357,0.9832349018860737,0.016765098113926458,250,114,64,55,82,223,0.00218
2.612,3.961,5.134,0.105,0.345,0.823,0.004,0.025,0.083,0.022731472925522085,0.9822583625947144,0.017741637405285532,250,114,64,55,82,219,0.00218
2.612,3.961,5.134,0.105,0.379,0.855,0.004,0.025,0.083,0.022080603177452654,0.9814199802531192,0.01858001974688089,250,124,152,69,112,215,0.00218
2.612,3.961,5.134,0.105,0.379,0.852,0.004,0.025,0.092,0.021391304347826087,0.9820869565217392,0.01791304347826087,250,124,152,69,112,214,0.00218
2.806,4.062,5.306,0.084,0.379,0.852,0.004,0.025,0.092,0.020959359291130613,0.986879100281162,0.013120899718837864,250,124,152,69,112,218,0.00218
2.806,4.062,5.306,0.084,0.379,0.852,0.004,0.025,0.092,0.02048122554325202,0.9860960785946216,0.013903921405378402,250,151,60,164,73,219,0.00218
2.806,4.062,5.306,0.084,0.379,0.852,0.004,0.025,0.092,0.02048122554325202,0.9860960785946216,0.013903921405378402,250,151,60,164,73,213,0.00218
2.806,4.062,5.306,0.084,0.379,0.84,0.004,0.025,0.092,0.01992386814610837,0.9848546205556006,0.01514537944439945,250,136,182,67,119,204,0.00218
