service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
0.76,4.207,6.358,0.014,0.234,0.884,0.003,0.02,0.124,0.04281636536631779,0.9904852521408184,0.009514747859181731,108,230,179,109,64,190,0.00233
0.76,4.207,6.358,0.014,0.234,0.884,0.003,0.02,0.124,0.04281636536631779,0.9904852521408184,0.009514747859181731,108,230,179,109,64,190,0.00233
2.045,4.041,6.103,0.054000000000000006,0.319,0.7070000000000001,0.003,0.02,0.117,0.0804953560371517,0.9727554179566564,0.02724458204334365,116,230,116,138,144,187,0.00233
2.045,3.908,5.95,0.026,0.301,0.612,0.003,0.02,0.096,0.05470999588646648,0.9962978198272316,0.003702180172768408,116,230,116,138,144,203,0.00233
1.548,3.842,5.464,0.031,0.301,0.605,0.003,0.02,0.103,0.04079754601226994,0.9953987730061352,0.0049079754601227,152,230,41,117,51,195,0.00233
1.5659999999999998,3.658,5.29,0.026,0.27,0.58,0.004,0.02,0.103,0.03302119270576639,0.9990142927550516,0.0009857072449482504,152,230,41,117,51,203,0.00233
1.759,3.517,5.135,0.026,0.234,0.5660000000000001,0.004,0.028,0.131,0.02733020599632878,0.9983683459106668,0.0016316540893330613,152,230,41,117,51,193,0.00233
1.759,3.517,5.135,0.026,0.234,0.5660000000000001,0.004,0.028,0.131,0.02733020599632878,0.9983683459106668,0.0016316540893330613,42,230,61,168,141,205,0.00233
1.5659999999999998,3.517,4.961,0.026,0.234,0.5660000000000001,0.004,0.028,0.119,0.023247744621790425,0.9961832061068704,0.0038167938931297713,42,230,61,168,141,197,0.00233
1.759,3.317,4.82,0.026,0.234,0.526,0.004,0.028,0.127,0.02065033132994298,0.9961473262444136,0.004006780705809832,62,230,103,200,132,197,0.00233
1.759,3.317,4.82,0.026,0.215,0.526,0.004,0.028,0.122,0.018139975632868552,0.9997292540950318,0.000406118857452281,62,230,103,200,132,196,0.00233
1.797,3.317,4.82,0.033,0.213,0.516,0.004,0.028,0.119,0.016610883847774885,0.9981405727036072,0.0019833891161522253,69,230,154,90,170,192,0.00233
1.797,3.317,4.609,0.026,0.195,0.491,0.004,0.028,0.119,0.015124153498871331,0.9974040632054176,0.002595936794582393,69,230,154,90,170,193,0.00233
1.797,3.317,4.609,0.033,0.195,0.491,0.004,0.028,0.119,0.01365813882376924,0.9981653246356132,0.0019366017735195187,69,230,154,90,170,205,0.00233
