service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
2.373,3.1319999999999997,3.82,0.092,0.253,0.39,0.005,0.035,0.11800000000000001,0.10828025477707008,1.0,0.0,163,27,167,155,62,159,0.00261
2.955,4.178,5.26,0.092,0.344,0.7490000000000001,0.008,0.066,0.146,0.06506024096385543,1.0,0.0,156,146,57,155,158,159,0.00261
3.017,4.199,5.2620000000000005,0.067,0.287,0.705,0.005,0.047,0.134,0.04269081500646831,1.0,0.0,35,40,166,155,123,158,0.00261
3.017,4.1339999999999995,5.176,0.067,0.287,0.645,0.005,0.04,0.133,0.03154875717017208,0.9990439770554492,0.0009560229445506693,81,191,59,155,140,160,0.00261
3.017,4.1339999999999995,5.176,0.067,0.287,0.645,0.005,0.04,0.133,0.03154875717017208,0.9990439770554492,0.0009560229445506693,186,165,32,155,89,158,0.00261
3.017,4.199,5.1770000000000005,0.092,0.321,0.627,0.005,0.04,0.129,0.025738077214231644,1.0,0.0,186,165,32,155,89,156,0.00261
3.017,4.199,5.1770000000000005,0.092,0.321,0.617,0.005,0.036000000000000004,0.11699999999999999,0.02069385270846013,1.0,0.0,108,63,151,155,135,156,0.00261
3.017,4.313,5.207000000000001,0.092,0.313,0.583,0.005,0.038,0.129,0.01795142555438226,0.9989440337909188,0.001055966209081309,70,83,155,155,30,157,0.00261
3.017,4.199,5.176,0.092,0.321,0.583,0.005,0.04,0.146,0.018683274021352312,0.9986654804270464,0.0017793594306049821,123,188,90,155,101,157,0.00261
3.017,4.199,5.119,0.092,0.321,0.583,0.005,0.038,0.131,0.016819571865443424,1.0,0.0,145,63,135,155,134,157,0.00261
3.017,4.199,5.119,0.092,0.321,0.583,0.005,0.038,0.131,0.016819571865443424,1.0,0.0,92,119,161,155,101,159,0.00261
2.7489999999999997,4.092,5.099,0.092,0.306,0.555,0.005,0.038,0.131,0.014652014652014654,1.0,0.0,92,119,161,155,101,156,0.00261
2.7489999999999997,4.092,5.08,0.092,0.304,0.555,0.005,0.038,0.127,0.01333737496210973,1.0,0.0,102,100,82,155,191,156,0.00261
2.7489999999999997,4.092,5.207000000000001,0.067,0.287,0.545,0.005,0.034,0.121,0.0119532735669655,1.0,0.0,105,184,113,155,189,156,0.00261
2.7489999999999997,4.092,5.176,0.067,0.287,0.545,0.005,0.034,0.11699999999999999,0.010915405606549244,1.0,0.0,197,175,128,155,136,156,0.00261
2.7489999999999997,4.092,5.176,0.067,0.287,0.545,0.005,0.034,0.11699999999999999,0.010915405606549244,1.0,0.0,148,134,28,155,188,157,0.00261
2.7489999999999997,3.983,5.099,0.092,0.3,0.555,0.005,0.034,0.11699999999999999,0.009916610322289836,1.0,0.0,148,134,28,155,188,159,0.00261
2.7489999999999997,3.983,5.099,0.092,0.3,0.5479999999999999,0.005,0.03,0.114,0.00930822932092236,1.0,0.0,49,90,179,155,194,160,0.00261
2.468,3.983,5.099,0.067,0.287,0.545,0.005,0.03,0.114,0.008820709491850431,1.0,0.0,136,66,190,155,143,157,0.00261
2.468,3.867,5.059,0.067,0.287,0.545,0.004,0.03,0.114,0.008205494113449875,1.0,0.0,33,96,134,155,116,160,0.00261
2.468,3.867,5.059,0.067,0.287,0.545,0.004,0.03,0.114,0.0077415011780545264,0.9996634129922584,0.0003365870077415012,162,115,151,155,138,158,0.00261
2.468,3.867,5.059,0.067,0.287,0.545,0.004,0.03,0.114,0.0077415011780545264,0.9996634129922584,0.0003365870077415012,191,189,146,155,124,158,0.00261
2.63,3.867,5.059,0.067,0.287,0.529,0.004,0.025,0.109,0.00732017823042648,0.9996817313812858,0.0003182686187141948,191,189,146,155,124,158,0.00261
2.468,3.867,4.9639999999999995,0.067,0.287,0.529,0.004,0.025,0.109,0.00694654183026276,1.0,0.0,119,56,119,155,181,160,0.00261
2.468,3.867,4.9639999999999995,0.067,0.265,0.529,0.003,0.025,0.109,0.006503605259437297,1.0,0.0,179,134,76,155,64,156,0.00261
2.468,3.763,4.9639999999999995,0.067,0.265,0.529,0.003,0.025,0.109,0.006208665136995546,1.0,0.0,150,56,98,155,187,156,0.00261
2.468,3.763,4.9639999999999995,0.067,0.265,0.529,0.003,0.025,0.10300000000000001,0.005956234623850835,1.0,0.0,161,40,68,155,41,160,0.00261
2.468,3.763,4.9639999999999995,0.067,0.265,0.529,0.003,0.025,0.10300000000000001,0.005956234623850835,1.0,0.0,27,79,97,155,190,159,0.00261
2.537,3.867,4.993,0.067,0.27699999999999997,0.52,0.004,0.025,0.10300000000000001,0.005761523046092184,1.0,0.0,27,79,97,155,190,158,0.00261
2.537,3.867,4.993,0.067,0.27699999999999997,0.504,0.004,0.025,0.10300000000000001,0.005528181708929215,1.0,0.0,78,83,159,155,166,156,0.00261
2.537,3.867,4.993,0.067,0.27699999999999997,0.504,0.004,0.025,0.10300000000000001,0.005335189051264208,1.0,0.0,200,32,135,155,196,159,0.00261
2.537,3.867,4.993,0.067,0.27699999999999997,0.504,0.004,0.025,0.10300000000000001,0.005119074115290452,1.0,0.0,136,34,27,155,68,156,0.00261
2.537,3.763,4.947,0.067,0.256,0.504,0.004,0.025,0.10300000000000001,0.0048967426016606344,1.0,0.0,50,44,184,155,26,159,0.00261
2.537,3.763,4.947,0.067,0.256,0.504,0.004,0.025,0.10300000000000001,0.0048967426016606344,1.0,0.0,134,112,159,155,118,158,0.00261
2.365,3.763,4.947,0.067,0.256,0.504,0.003,0.025,0.10300000000000001,0.004656341734993421,1.0,0.0,134,112,159,155,118,160,0.00261
2.365,3.763,4.947,0.047,0.256,0.504,0.003,0.025,0.094,0.004487367086137939,1.0,0.0,103,50,127,155,75,160,0.00261
2.365,3.763,4.947,0.067,0.256,0.504,0.004,0.025,0.094,0.004370131103933118,1.0,0.0,166,48,184,155,40,156,0.00261
2.537,3.763,4.947,0.067,0.256,0.49,0.004,0.025,0.10300000000000001,0.00450284874104025,0.9998162102554676,0.00018378974453225511,139,162,174,155,181,159,0.00261
2.537,3.763,4.947,0.067,0.256,0.49,0.004,0.025,0.094,0.0043781272337383844,0.9999106504646176,8.934953538241601e-05,100,71,171,155,124,158,0.00261
2.537,3.763,4.947,0.067,0.256,0.49,0.004,0.025,0.094,0.0043781272337383844,0.9999106504646176,8.934953538241601e-05,82,58,160,155,74,158,0.00261
2.537,3.763,4.947,0.067,0.256,0.504,0.004,0.025,0.10300000000000001,0.004288840262582057,0.9998249452954048,0.000262582056892779,82,58,160,155,74,158,0.00261
2.537,3.867,4.947,0.067,0.256,0.49,0.004,0.025,0.094,0.004184815099496114,1.0,0.0,159,132,115,155,57,157,0.00261
2.537,3.867,4.993,0.067,0.256,0.49,0.004,0.025,0.10300000000000001,0.004095620193915079,0.99991641591441,8.358408559010364e-05,162,118,54,155,64,159,0.00261
2.537,3.867,4.993,0.067,0.256,0.49,0.004,0.025,0.10300000000000001,0.003974691758598313,0.9999188838416612,8.111615833874106e-05,100,27,27,155,81,156,0.00261
2.537,3.867,4.947,0.067,0.256,0.49,0.004,0.025,0.10300000000000001,0.0038506876227897844,1.0,0.0,50,199,55,155,92,158,0.00261
2.537,3.867,4.947,0.067,0.256,0.49,0.004,0.025,0.10300000000000001,0.0038506876227897844,1.0,0.0,50,199,55,155,92,158,0.00261
2.537,3.867,4.947,0.067,0.256,0.49,0.004,0.025,0.10300000000000001,0.00372085959450224,0.9995443845394488,0.0004556154605512947,54,34,194,155,171,160,0.00261
2.537,3.867,4.947,0.067,0.256,0.47700000000000004,0.004,0.025,0.10300000000000001,0.003626406157489639,0.9993339253996448,0.0006660746003552397,36,171,134,155,143,159,0.00261
2.537,3.867,4.947,0.067,0.256,0.47700000000000004,0.004,0.025,0.10300000000000001,0.0035535571832620203,1.0,0.0,154,145,82,155,127,157,0.00261
2.537,3.867,4.947,0.067,0.256,0.49,0.004,0.025,0.109,0.0034860557768924307,1.0,0.0,149,188,145,155,175,156,0.00261
