service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
0.987,1.978,2.827,0.037000000000000005,0.136,0.306,0.002,0.01,0.04,0.061538461538461535,1.0,0.0,116,33,185,235,37,214,0.00221
0.987,1.978,2.827,0.037000000000000005,0.136,0.306,0.002,0.01,0.04,0.061538461538461535,1.0,0.0,26,130,184,235,125,219,0.00221
1.675,3.225,3.886,0.037000000000000005,0.14,0.28600000000000003,0.003,0.011,0.052000000000000005,0.03549060542797495,1.0,0.0,120,181,125,235,56,211,0.00221
2.126,3.103,3.83,0.037000000000000005,0.136,0.26,0.003,0.022,0.09,0.025943396226415096,1.0,0.0,120,181,125,235,56,211,0.00221
2.126,3.03,3.799,0.024,0.108,0.248,0.004,0.027000000000000003,0.096,0.025660964230171075,1.0,0.0,122,175,131,235,191,223,0.00221
2.126,3.03,3.728,0.024,0.122,0.248,0.004,0.022,0.093,0.01948051948051948,1.0,0.0,181,117,192,235,160,215,0.00221
1.942,2.96,3.675,0.024,0.108,0.239,0.004,0.022,0.091,0.016166281755196306,0.9990762124711317,0.0009237875288683604,47,90,27,235,154,213,0.00221
1.942,2.96,3.675,0.024,0.108,0.239,0.004,0.022,0.091,0.016166281755196306,0.9990762124711317,0.0009237875288683604,151,106,27,235,55,214,0.00221
1.942,2.96,3.675,0.024,0.122,0.294,0.003,0.019,0.084,0.013938669852648349,1.0,0.0,158,45,84,235,176,220,0.00221
1.942,2.899,3.614,0.024,0.122,0.278,0.003,0.017,0.084,0.011820330969267141,1.0,0.0,158,45,84,235,176,212,0.00221
1.942,2.96,3.614,0.024,0.122,0.26,0.003,0.017,0.07200000000000001,0.010519987977156595,1.0,0.0,176,116,122,235,32,220,0.00221
1.942,2.96,3.612,0.024,0.108,0.26,0.003,0.017,0.07200000000000001,0.009444144630329195,1.0,0.0,35,107,112,235,78,223,0.00221
1.942,2.96,3.5780000000000003,0.024,0.108,0.248,0.003,0.017,0.069,0.008365200764818356,1.0,0.0,196,74,121,235,195,223,0.00221
1.942,2.96,3.5780000000000003,0.024,0.108,0.248,0.003,0.017,0.069,0.008365200764818356,1.0,0.0,182,90,169,235,196,215,0.00221
1.942,2.881,3.5780000000000003,0.024,0.122,0.278,0.003,0.017,0.069,0.007638585770405936,1.0,0.0,46,37,111,235,141,213,0.00221
1.942,2.96,3.602,0.029,0.122,0.276,0.003,0.017,0.07200000000000001,0.00707070707070707,1.0,0.0,46,37,111,235,141,216,0.00221
1.787,2.881,3.58,0.024,0.122,0.276,0.003,0.017,0.07200000000000001,0.006493506493506494,0.9998144712430428,0.0001855287569573284,195,132,74,235,131,212,0.00221
1.787,2.881,3.571,0.029,0.122,0.278,0.003,0.017,0.07200000000000001,0.006236305410416316,1.0,0.0,95,63,45,235,45,223,0.00221
1.787,2.881,3.571,0.029,0.136,0.278,0.003,0.017,0.069,0.00588984399872652,1.0,0.0,122,71,122,235,83,212,0.00221
1.787,2.881,3.571,0.029,0.136,0.278,0.003,0.017,0.069,0.00588984399872652,1.0,0.0,175,79,185,235,64,221,0.00221
1.787,2.96,3.58,0.029,0.122,0.278,0.003,0.017,0.069,0.00558743581999396,1.0,0.0,175,79,185,235,64,221,0.00221
1.942,2.881,3.58,0.029,0.122,0.278,0.003,0.017,0.069,0.0052676537585421394,1.0,0.0,40,158,125,235,71,220,0.00221
