service_a_rq_time_50_quantile,service_a_rq_time_90_quantile,service_a_rq_time_99_quantile,service_b_rq_time_50_quantile,service_b_rq_time_90_quantile,service_b_rq_time_99_quantile,service_c_rq_time_50_quantile,service_c_rq_time_90_quantile,service_c_rq_time_99_quantile,pending_rate,complete_rate,active_rate,r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,new_limit,mean_latency
1.15,1.686,2.083,0.009000000000000001,0.053,0.099,0.002,0.019,0.045,0.11235955056179776,0.9831460674157304,0.02247191011235955,34,89,35,29,122,38,0.00215
1.439,2.77,3.634,0.019,0.10099999999999999,0.304,0.002,0.015,0.036000000000000004,0.028999999999999998,0.995,0.005,134,69,35,122,79,38,0.00215
1.439,2.77,3.634,0.019,0.10099999999999999,0.304,0.002,0.015,0.036000000000000004,0.028999999999999998,0.995,0.005,145,149,35,134,199,36,0.00215
1.121,2.622,3.679,0.013999999999999999,0.084,0.28600000000000003,0.002,0.012,0.033,0.03796761585706309,0.9966499162479062,0.003908431044109436,28,124,35,119,99,36,0.00215
0.9059999999999999,2.458,3.5210000000000004,0.013999999999999999,0.077,0.275,0.002,0.012,0.033,0.025411061285500747,1.0,0.0,28,124,35,119,99,38,0.00215
0.9059999999999999,2.083,3.4960000000000004,0.013999999999999999,0.077,0.263,0.002,0.011000000000000001,0.031,0.019258000566411783,0.9968847352024922,0.0033984706881903144,43,198,35,29,67,37,0.00215
0.915,2.083,3.475,0.019,0.09300000000000001,0.252,0.002,0.012,0.033,0.015542857142857143,0.9981714285714286,0.002057142857142857,44,143,35,139,146,37,0.00215
0.9059999999999999,1.868,3.338,0.013999999999999999,0.084,0.243,0.002,0.013000000000000001,0.038,0.012947448591012949,1.0,0.0,91,27,35,193,146,37,0.00215
0.9059999999999999,1.868,3.338,0.013999999999999999,0.084,0.243,0.002,0.013000000000000001,0.038,0.012947448591012949,1.0,0.0,184,92,35,84,151,36,0.00215
0.9059999999999999,2.182,3.338,0.019,0.09300000000000001,0.263,0.002,0.013000000000000001,0.045,0.01119157340355497,0.99835418038183,0.0018104015799868332,45,119,35,89,187,37,0.00215
0.983,2.503,3.965,0.019,0.10099999999999999,0.263,0.002,0.015,0.051,0.009960451149846198,0.9983887505492895,0.0017577266735022705,45,119,35,89,187,36,0.00215
1.121,2.622,3.965,0.019,0.10099999999999999,0.252,0.003,0.015,0.07,0.00882887561672293,0.9992209815632304,0.0007790184367696703,55,112,35,198,38,38,0.00215
1.242,2.77,3.873,0.023,0.10099999999999999,0.263,0.003,0.015,0.066,0.008025492741649947,0.9983476926708368,0.0016523073291632244,69,33,35,148,114,37,0.00215
1.242,2.77,3.802,0.023,0.106,0.263,0.003,0.015,0.055,0.0073410342221742406,0.9992443053006586,0.0011875202418223038,188,164,35,70,183,36,0.00215
1.242,2.77,3.802,0.023,0.106,0.263,0.003,0.015,0.055,0.0073410342221742406,0.9992443053006586,0.0011875202418223038,198,163,35,171,166,36,0.00215
1.242,2.622,3.802,0.019,0.10099999999999999,0.252,0.003,0.015,0.053,0.006889763779527559,1.0,0.0,198,163,35,171,166,36,0.00215
1.242,2.622,3.7510000000000003,0.019,0.10099999999999999,0.252,0.003,0.013000000000000001,0.051,0.006351510752200346,1.0,0.0,156,158,35,169,175,38,0.00215
1.121,2.622,3.7510000000000003,0.019,0.10099999999999999,0.252,0.003,0.013000000000000001,0.053,0.0058927519151443725,0.9994107248084856,0.0005892751915144372,195,135,35,73,100,36,0.00215
1.242,2.622,3.734,0.023,0.10099999999999999,0.263,0.003,0.015,0.055,0.005535347145342401,0.9991301597343032,0.000869840265696663,72,191,35,195,68,37,0.00215
1.242,2.622,3.734,0.023,0.10099999999999999,0.263,0.003,0.015,0.055,0.005535347145342401,0.9991301597343032,0.000869840265696663,99,52,35,138,194,37,0.00215
